,Dated,Normal care,Intensive care,Intensive care. 1,Cumulative Number of Death,Hospital discharges,Cumulative number of positives,Number of positives,Number of tests performed,Number of cumulative tests carried out,Positivity Rate,Death per day,Month
0,2020-02-24,,0,,,0,,,,,,,2020-02
1,2020-02-25,,0,,,0,,,,,,,2020-02
2,2020-02-26,,0,,,0,,,,,,,2020-02
3,2020-02-27,,0,,,0,,,,,,,2020-02
4,2020-02-28,,0,,,0,,,,,,,2020-02
5,2020-02-29,,0,,,0,,,,,,,2020-02
6,2020-03-01,,0,,,0,,,,,,,2020-03
7,2020-03-02,,0,,,0,,,,,,,2020-03
8,2020-03-03,,0,,,0,,,,,,,2020-03
9,2020-03-04,,0,,,0,,,,,,,2020-03
10,2020-03-05,,0,,,0,,,,,,,2020-03
11,2020-03-06,,0,,,0,,,,,,,2020-03
12,2020-03-07,,0,,,0,,,,,,,2020-03
13,2020-03-08,,0,,,0,,,,,,,2020-03
14,2020-03-09,,0,,,0,,,,,,,2020-03
15,2020-03-10,,0,,,3,,,,,,,2020-03
16,2020-03-11,,0,,,0,,,,,,,2020-03
17,2020-03-12,,0,,,1,,,,,,,2020-03
18,2020-03-13,,0,,,3,,,,,,,2020-03
19,2020-03-14,,0,,,0,,,,,,,2020-03
20,2020-03-15,,0,,,0,,,,,,,2020-03
21,2020-03-16,,0,,,4,,,,,,,2020-03
22,2020-03-17,0.0,0,0.0,3.0,1,197.0,108.0,578.0,1511.0,18.685121107266436,,2020-03
23,2020-03-18,0.0,0,0.0,3.0,3,344.0,147.0,880.0,2391.0,16.704545454545457,0.0,2020-03
24,2020-03-19,1.0,0,0.0,4.0,0,480.0,136.0,901.0,3292.0,15.09433962264151,1.0,2020-03
25,2020-03-20,18.0,3,3.0,6.0,2,648.0,168.0,995.0,4287.0,16.884422110552762,2.0,2020-03
26,2020-03-21,56.0,6,6.0,7.0,1,767.0,119.0,438.0,4725.0,27.168949771689498,1.0,2020-03
27,2020-03-22,63.0,5,2.0,7.0,5,788.0,21.0,21.0,4746.0,100.0,0.0,2020-03
28,2020-03-23,71.0,7,2.0,7.0,6,1007.0,219.0,1104.0,5850.0,19.83695652173913,0.0,2020-03
29,2020-03-24,97.0,9,2.0,7.0,2,1180.0,173.0,885.0,6735.0,19.54802259887006,0.0,2020-03
30,2020-03-25,128.0,21,14.0,9.0,2,1329.0,149.0,900.0,7635.0,16.555555555555557,2.0,2020-03
31,2020-03-26,120.0,26,20.0,9.0,11,1530.0,201.0,4597.0,12232.0,4.372416793561018,0.0,2020-03
32,2020-03-27,128.0,26,20.0,14.0,4,1682.0,152.0,1081.0,13313.0,14.061054579093431,5.0,2020-03
33,2020-03-28,152.0,29,23.0,17.0,7,1779.0,97.0,824.0,14137.0,11.771844660194175,3.0,2020-03
34,2020-03-29,160.0,27,21.0,21.0,1,1812.0,33.0,273.0,14410.0,12.087912087912088,4.0,2020-03
35,2020-03-30,150.0,30,24.0,22.0,19,1948.0,136.0,1075.0,15485.0,12.651162790697674,1.0,2020-03
36,2020-03-31,153.0,32,26.0,26.0,16,2034.0,86.0,936.0,16421.0,9.18803418803419,4.0,2020-03
37,2020-04-01,154.0,33,27.0,27.0,11,2153.0,119.0,1180.0,17601.0,10.084745762711865,1.0,2020-04
38,2020-04-02,171.0,40,30.0,28.0,8,2262.0,109.0,1341.0,18942.0,8.128262490678598,1.0,2020-04
39,2020-04-03,167.0,45,35.0,29.0,19,2349.0,87.0,1212.0,20154.0,7.1782178217821775,1.0,2020-04
40,2020-04-04,173.0,43,33.0,34.0,13,2408.0,59.0,824.0,20978.0,7.160194174757281,5.0,2020-04
41,2020-04-05,160.0,43,33.0,36.0,10,2439.0,31.0,551.0,21529.0,5.626134301270418,2.0,2020-04
42,2020-04-06,160.0,41,31.0,38.0,16,2498.0,59.0,1050.0,22579.0,5.6190476190476195,2.0,2020-04
43,2020-04-07,159.0,41,31.0,43.0,11,2559.0,61.0,1020.0,23599.0,5.980392156862745,5.0,2020-04
44,2020-04-08,168.0,43,33.0,46.0,9,2623.0,64.0,932.0,24531.0,6.866952789699571,3.0,2020-04
45,2020-04-09,163.0,39,29.0,49.0,10,2680.0,57.0,863.0,25394.0,6.60486674391657,3.0,2020-04
46,2020-04-10,165.0,38,28.0,54.0,17,2715.0,35.0,691.0,26085.0,5.065123010130246,5.0,2020-04
